state,year,pop_estimate,pop_change,births,deaths,international_mig,domestic_mig,net_mig,natural_inc,r_birth,r_death,r_natural_inc,r_international_mig,r_domestic_mig,r_net_mig
Vermont,2015,625197,-21,5969,5934,2146,-2162,-16,35,9.54723032,9.491248905,0.055981414,3.432460423,-3.458051927,-0.025591504
Vermont,2016,623644,-1553,5834,5821,659,-2213,-1554,13,9.343062888,9.322243584,0.020819304,1.055378547,-3.544086077,-2.48870753
Vermont,2017,624525,881,5679,5738,1822,-852,970,-59,9.099729284,9.194267763,-0.09453848,2.919476449,-1.365199745,1.554276705
Vermont,2018,626299,1774,5599,5587,1850,-62,1788,12,8.952498513,8.933311161,0.019187352,2.958050053,-0.09913465,2.858915403
Virginia,2010,8023680,22625,25715,14668,5747,5493,11240,11047,0,0,0,0,0,0
Virginia,2011,8100469,76789,102344,60444,22666,12030,34696,41900,12.69449941,7.497325905,5.197173507,2.811435196,1.492171773,4.303606969
Virginia,2012,8185229,84760,102755,60214,36982,5020,42002,42541,12.61904771,7.394709149,5.224338558,4.541653665,0.616491845,5.158145509
Virginia,2013,8253053,67824,102539,63413,25574,3217,28791,39126,12.47563462,7.715283142,4.760351477,3.111517372,0.391403433,3.502920804
Virginia,2014,8312076,59023,102589,62633,34565,-15804,18761,39956,12.38613958,7.562029852,4.824109731,4.173224368,-1.90810467,2.265119698
Virginia,2015,8362907,50831,103237,65500,38389,-25452,12937,37737,12.3822615,7.856079973,4.526181526,4.604382505,-3.052716755,1.55166575
Virginia,2016,8410946,48039,102906,65592,35636,-24951,10685,37314,12.26981064,7.820743392,4.449067248,4.248993955,-2.974987321,1.274006634
Virginia,2017,8465207,54261,101529,67237,32541,-12485,20056,34292,12.03224455,7.968285189,4.063959363,3.856447616,-1.479602608,2.376845007
Virginia,2018,8517685,52478,99570,68820,31641,-9831,21810,30750,11.72591806,8.104626703,3.621291356,3.726220481,-1.157753344,2.568467137
Washington,2010,6742902,18362,22236,11825,5947,2304,8251,10411,0,0,0,0,0,0
Washington,2011,6821655,78753,86680,49850,19797,22109,41906,36830,12.78036577,7.350037307,5.430328466,2.918930563,3.259818953,6.178749516
Washington,2012,6892876,71221,86718,49438,21908,12300,34208,37280,12.64614882,7.209579387,5.436569431,3.194859525,1.793717919,4.988577444
Washington,2013,6962906,70030,87238,51321,19429,14660,34089,35917,12.59228819,7.407882139,5.184406048,2.804460982,2.116084101,4.920545084
Washington,2014,7052439,89533,87393,51268,30640,22944,53584,36125,12.47104513,7.315981162,5.155063967,4.372350449,3.27412561,7.646476059
Washington,2015,7163543,111104,88770,53858,32866,43178,76044,34912,12.48876089,7.577105824,4.911655065,4.623810019,6.074571563,10.69838158
Washington,2016,7294680,131137,89747,54693,29086,66774,95860,35054,12.41466534,7.56566004,4.849005303,4.023454335,9.236819767,13.2602741
Washington,2017,7425432,130752,90701,56067,31204,64662,95866,34634,12.32341167,7.617740952,4.705670718,4.239641655,8.78553098,13.02517264
Washington,2018,7535591,110159,90495,57568,30557,46549,77106,32927,12.09743478,7.695730432,4.401704349,4.084881094,6.222702819,10.30758391
West Virginia,2010,1854214,1213,5104,5233,82,1318,1400,-129,0,0,0,0,0,0
West Virginia,2011,1856074,1860,20466,21908,1867,1501,3368,-1442,11.0320277,11.80932585,-0.77729815,1.006390879,0.809101612,1.81549249
West Virginia,2012,1856764,690,20676,21492,890,730,1620,-816,11.13757185,11.57712779,-0.439555941,0.479417632,0.393230192,0.872647824
West Virginia,2013,1853873,-2891,20926,22253,634,-2124,-1490,-1327,11.27892596,11.99416704,-0.715241076,0.341720303,-1.144816914,-0.803096611
West Virginia,2014,1849467,-4406,20571,21666,996,-4254,-3258,-1095,11.10943095,11.70078902,-0.591358071,0.537892821,-2.297385603,-1.759492782
West Virginia,2015,1841996,-7471,20088,22782,1268,-5989,-4721,-2694,10.88348983,12.34307374,-1.45958391,0.686990497,-3.244783979,-2.557793482
West Virginia,2016,1830929,-11067,19416,22459,1037,-9046,-8009,-3043,10.57250012,12.22949012,-1.656990001,0.56467257,-4.925774417,-4.361101847
West Virginia,2017,1817048,-13881,18547,22629,332,-10107,-9775,-4082,10.16837551,12.40632822,-2.237952706,0.182018692,-5.541153357,-5.359134666
West Virginia,2018,1805832,-11216,18010,22551,386,-7029,-6643,-4541,9.942366294,12.44921168,-2.506845383,0.213090138,-3.880338294,-3.667248156
